sku;nombre;cod_barra;;
100659;ACTIV. KOLESTON 30 VOL;726669011507;;
100665;ACTIV. KOLESTON 20 VOL;726669011712;;
100676;KOL-PRE SINGLE # 20 C/A20VOL.;3614227275621;;
100678;KOL-PRE SINGLE # 30 C/A20VOL.;3614227275638;;
100679;KOL-PRE SINGLE # 40 C/A20VOL.;3614227275799;;
100680;KOL-PRE SINGLE # 50 C/A30VOL.;3614227275652;;
100682;KOL-PRE SINGLE # 60 C/A20VOL;3614227275669;;
100683;KOL-PRE SINGLE # 61 C/A30VOL.;3614227275676;;
100686;KOL-PRE SINGLE # 67 C/A30VOL.;3614227275683;;
100687;KOL-PRE SINGLE # 7/0 C/A20VOL.;3614227275690;;
100688;KOL-PRE SINGLE # 71 C/A30VOL;3614227275706;;
100689;KOL-PRE SINGLE # 72 C/A30VOL.;3614227275713;;
100690;KOL-PRE SINGLE # 7/3 C/A20VOL.;3614227275720;;
100691;KOL-PRE SINGLE # 77 C/A30VOL.;3614227275737;;
100693;KOL-PRE SINGLE # 8/1 C/A20VOL.;3614227275751;;
100696;KOL-PRE SINGLE # 9/0 C/A20VOL.;3614227275768;;
100698;KOL-PRE SINGLE # 80 C/A20VOL.;3614227275744;;
101067;AVENE LECHE LIMPIADORA 200 ML.;3282779051514;;
101080;AVENE AGUA THERMAL 300 ML.;3282779003131;;
101092;AVENE CICALFATE CR. 40 ML.;3282770204667;;
102270;H&SH. SH. 375 ML. LIMPIEZA RENOV.;7500435020008;;
102292;ALWAYS NOCT. U/F C/ALAS 8 UNID.;7590002012383;;
102390;ALWAYS NOCT. U/F C/ALAS 16 UNID.;7590002037355;;
102443;PANTENE AC. 400 ML. L/EXTREMO;7501001165253;;
102445;PANTENE AC. 400 ML. R/DEFINIDOS;7501001165321;;
102451;PANTENE SH. 400 ML. L/EXTREMO;7501001165246;;
102453;PANTENE SH. 400 ML. R/DEFINIDOS;7501001164645;;
103129;SPRING NATURAL GEL EXTRA FUERTE 200 GRS +200 GRS;7808718200711;;
104023;FESEMA LF INH. 200 DOSIS;7800030005449;;
1045;TONARIL 2 MG. 100 C0MP.;7800007106186;;
1050;TENSOLIV 30 COMP.;7800007152107;;
105003;LECHUGA CR. LATA 60 ML.;7800004029037;;
105004;LECHUGA CR. LATA 28 ML.;7800004029044;;
105276;LECHUGA CR. SOFT 55 GR.;7800004000944;;
1062;GRIFOPARKIN 30 COMP.;7800007103406;;
1064;TROXXIL 1 GR. 4 COMP.;7800007173294;;
11003;CEBION 1000 MG. 10 COMP. EFERV.;7800017052411;;
11010;DOLO NEUROBIONTA 20 COMP.;7501298213699;;
11040;NOVOTHYRAL 100 COMP.;4022536866666;;
11084;GLAFORNIL 850 MG. 30 COMP.;3596540010137;;
11085;GLAFORNIL 850 MG. 60 COMP.;3596540010144;;
11101;GLAFORNIL 500 MG. 30 COMP.;3596540040103;;
111020;FASARAX 20 COMP.;7804918400340;;
111021;FASARAX JBE. 120 ML.;7804918400357;;
111022;ALLEDRYL JBE. 60 ML.;7804918401149;;
111053;PRESERVATIVOS LIFESTYLES 3 UN. NUDA;7804918450017;;
111055;PRESERVATIVOS LIFESTYLES 3 UN. ROUGH RIDER;7804918450031;;
111077;MERPAL 100 MG. 8 CAPS.;7804918400777;;
111092;CLARAGINE 16 COMP.;7804918402054;;
111099;CARIAMYL CR. 20 GR.;7804918402399;;
111102;ESCAR T 1% CR. 20 GR.;7804918401040;;
111104;MERPAL GEL 60 GR.;7804918402498;;
111119;BIOGEL SH. 2% 150 ML.;7804918402580;;
111120;PRESERVATIVOS LIFESTYLES 12 UN. FORTE;7804918450055;;
111121;PRESERVATIVOS LIFESTYLES 12 UN. NUDA;7804918450154;;
111122;PRESERVATIVOS LIFESTYLES 12 UN. ROUGH RIDER;7804918450178;;
111123;PRESERVATIVOS LIFESTYLES 12 UN. STIMULA;7804918450161;;
111124;INFOR-E 30 CAPS.;7804918402894;;
111131;CARIAMYL SPRAY 130 ML.;7804918403013;;
111132;ESCAR T 1% CR. 40 GR.;7804918403020;;
111135;INFOR-Q10 30 CAPS.;7804918403198;;
111139;BENTLEY GEL INTIMO 50 GR. CLASICO;7804918403419;;
111153;RIGOTAX-D 30 CAPS.;7804918403679;;
111158;PRESERVATIVOS LIFESTYLES 3 UN. CLIMAX;7804918450246;;
111160;ALLEDRYL-D JARABE 120 ML.;7804918410325;;
11125;ATACAND 16 MG. 30 COMP;7800017001716;;
11134;CONCOR 1,25 MG. 14 COMP.;7800017042399;;
11135;CONCOR 2,5 MG. 28 COMP.;7800017043402;;
11136;CONCOR 5 MG. 28 COMP.;7800017044409;;
11141;ZIAC 10 MG. 30 COMP.;7702418133075;;
11149;GLAFORNIL 1000 MG. 30 COMP.;3596540050096;;
11151;GLUCOVANCE 500/5 MG. 30 COMP.;3596540060163;;
11152;GLUCOVANCE 500 MG/2,5 MG. 30 COMP.;3596540060156;;
11157;THYROZOL 5 MG. 50 COMP.;7800017073430;;
11158;THYROZOL 10 MG. 50 COMP.;7800017074437;;
11174;CONCOR 10 MG. 28 COMP;7800017047400;;
1122;CAM JBE. 120 ML.;7800007188212;;
1147;CORTIPREX 20 MG. 20 COMP. (B);7800007313645;;
1159;AEROFACIDOSE A. E. AD/ESC                                   ;7800007483997;;
116295;PASSIFLORA TM 20ML;2010380021708;;
